,,,,,,,,
,Reporting Date,NSE S&P CNX NIFTY,BSE BANKEX,REPO RATE (OVERNIGHT),REVERSE REPO RATE (OVERNIGHT),DAILY CALL MONEY RATE -HIGH,DAILY CALL MONEY RATE - LOW,RBI'S REFERENCE RATE: INR PER USD
,,Index,Index,Per cent,Per cent,Per cent,Per cent,Rupees
,15-Jun-2022,15692.15,38469.8,4.9,3.35,4.8,3.3,78.0755
,14-Jun-2022,15732.1,38403.13,4.9,3.35,4.8,2.3,78.0015
,13-Jun-2022,15774.4,38494.32,4.9,3.35,4.8,3.3,78.143
,12-Jun-2022,wh,wh,wh,wh,wh,wh,wh
,11-Jun-2022,,,4.9,3.35,,,
,10-Jun-2022,16201.8,39735.84,4.9,3.35,4.8,2.35,77.84
,09-Jun-2022,16478.1,40466.45,4.9,3.35,4.8,2.35,77.787
,08-Jun-2022,16356.25,40304.75,4.9,3.35,4.95,2.35,77.7251
,07-Jun-2022,16416.35,40375.89,4.9,3.35,4.4,2.35,77.7239
,06-Jun-2022,16569.55,40722.73,4.9,3.35,4.5,2.35,77.6718
,05-Jun-2022,wh,wh,wh,wh,wh,wh,wh
,04-Jun-2022,,,4.9,3.35,4.25,3.25,
,03-Jun-2022,16584.3,40661.65,4.4,3.35,4.35,3.3,77.5994
,02-Jun-2022,16628,41065.17,4.4,3.35,4.45,2.35,77.5883
,01-Jun-2022,16522.75,41088.39,4.4,3.35,4.5,2.35,77.5554
,31-May-2022,16584.55,40907.3,4.4,3.35,4.3,2.4,77.6641
,30-May-2022,16661.4,41346.75,4.4,3.35,4.3,2,77.5115
,29-May-2022,wh,wh,wh,wh,wh,wh,wh
,28-May-2022,,,4.4,3.35,,,
,27-May-2022,16352.45,41195.68,4.4,3.35,4.35,2.35,77.6592
,26-May-2022,16170.15,40646.1,4.4,3.35,4.4,2.3,77.6262
,25-May-2022,16025.8,39791.33,4.4,3.35,4.35,2.3,77.5137
,24-May-2022,16125.15,39706.07,4.4,3.35,4.3,2.4,77.6352
